sku,price,memberships,productClass,taxClass,enabled,weight,shippable,images,imagesAlt,arrivalDate,date,updateDate,categories,inventoryTrackingEnabled,stockLevel,lowLimitEnabled,lowLimitLevel,cleanURL,useSeparateBox,boxWidth,boxLength,boxHeight,itemsPerBox,metaDescType,name_en,description_en,briefDescription_en,metaTags_en,metaDesc_en,metaTitle_en,Size (field:product),Style (field:product),Embroidery (field:product),Color (field:product),Lost Car Logo On Sleeve (Free) (field:product),Quantity (field:product),Sleeve Length (field:product),Neck Size (field:product),Display type (field:class >>> Display),Graphic (field:class >>> Specifications),"Storage, GB (field:class >>> Specifications)","Memory, GB (field:class >>> Specifications)",CPU (field:class >>> Specifications),LTE (field:class >>> Cellular and Wireless),GLONASS (field:class >>> Cellular and Wireless),GPS (field:class >>> Cellular and Wireless),"Dimension, inches (field:class >>> Display)",Resolution (field:class >>> Display),"Weight, kg (field:class >>> Size and Weight)","Depth, inches (field:class >>> Size and Weight)","Width, inches (field:class >>> Size and Weight)","Height, inches (field:class >>> Size and Weight)",Battery type (field:class >>> Battery),Bluetooth (field:class >>> Cellular and Wireless),Wi-Fi (field:class >>> Cellular and Wireless),CDMA model (field:class >>> Cellular and Wireless),"Height, inches (field:class >>> Size & weight)_en",Standby time (field:class >>> Power and Battery)_en,Talk time (field:class >>> Power and Battery)_en,Battery type (field:class >>> Power and Battery),"Capacity, GB (field:class)",Sleeve (field:class),"Width, inches (field:class >>> Size & weight)_en","Depth, inches (field:class >>> Size & weight)_en",GSM model (field:class >>> Cellular and Wireless),Color (field:class),SIM card (field:class),Audio playback (field:class >>> Power and Battery)_en,Video playback (field:class >>> Power and Battery)_en,Chip (field:class),"Weight, grams (field:class >>> Size & weight)_en",Size (field:class),Size (field:global),openGraphMeta,useCustomOpenGraphMeta,sale,freeShipping,freightFixedFee,variantSKU,variantPrice,variantQuantity,variantWeight,variantImage,variantImageAlt,relatedProducts,!GENERATE_THUMBNAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,!GENERATE_THUMBNAIL
111-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
111-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
111-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,14,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
111-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,15,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
111-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,0,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
111-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,1,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
111-006,100,,,,Yes,2,Yes,images/product/IMG_8817.jpg&&images/product/IMG_8616.jpg,,"Fri, 20 May 2016 17:00:44 +0000","Wed, 08 Apr 2015 23:34:49 +0000","Fri, 17 Mar 2017 19:54:44 +0000",Men's Chef Coats,Yes,1000,No,10,frank3.html,No,0,0,0,1,A,Frank 3.0,,"<p><span style=""font-family:arial, helvetica, sans-serif;"">The Frank. It may be a living legend, or possibly just the most updated classic to date. The 2 way stretch in this coat makes you feel like you can work for days in this superstar. It's made with an extremely lightweight cotton and spandex, and finished with classy cloth covered buttons. Don't forget about all of the Lost Car awesomeness- pen and marker pockets in front for easy access, and the signature apron magnet on the back of your neck to keep that pesky thing from bothering you all shift. </span></p>
<ul><li><span style=""font-family:arial, helvetica, sans-serif;"">2 way stretch cotton</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">97% cotton 3% spandex</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Double-breasted</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">No-fuss neodymium magnetic back apron tab</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Top stitched with a contrasting light gray</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Inset double chest pocket</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">12 cloth covered buttons</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Mandarin collar</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Short-sleeve</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Longer, curved hemline</span></li>
</ul><h3><span style=""color:#008000;font-family:arial, helvetica, sans-serif;"">Use &amp; Care</span></h3>
<ul><li><span style=""color:#000000;font-family:arial, helvetica, sans-serif;"">Machine-wash cold, gentle cycle</span></li>
<li><span style=""color:#000000;font-family:arial, helvetica, sans-serif;"">Line dry only, DO NOT USE DRYER (shrinkage will occur)</span></li>
<li><span style=""color:#000000;font-family:arial, helvetica, sans-serif;"">Due to the 3% spandex in the fabric, please use caution when laundering. Care instructions must be followed in order to maintain the integrity of the product. No refunds or exchanges will be made from the disregard of these instructions.</span></li>
</ul><h3><span style=""color:#008000;font-family:arial, helvetica, sans-serif;"">Dimensions</span></h3>
<ul><li><span style=""font-family:arial, helvetica, sans-serif;"">Available in sizes XS-5XL</span></li>
</ul><ul><li><span style=""font-family:arial, helvetica, sans-serif;"">Note: This products sizing runs slightly larger.  Please reference the size chart before purchase.</span></li>
</ul><p><span style=""font-family:arial, helvetica, sans-serif;""> </span></p>
<p><span style=""font-family:arial, helvetica, sans-serif;""><a href=""/images/filemanager/uploads/size%20charts/frank_3.0_size_chart.png"" target=""_blank"">Size Chart</a></span></p>
<p><span style=""font-family:arial, helvetica, sans-serif;""><a href=""/images/filemanager/uploads/thread%20colors%201.jpg"" target=""_blank"">Embroidery Thread Colors</a></span></p>
<p><span style=""font-family:arial, helvetica, sans-serif;""><a href=""/images/filemanager/uploads/font%20list%20final.jpg"" target=""_blank"">Font List</a></span></p>
<div id=""chart_info"" style=""width:800px;display:none;""><img src=""/images/White-Male.jpg"" alt=""Chart"" /></div>",,"The Frank. It may be a living legend, or possibly just the most updated classic to date. The 2 way stretch in this coat makes you feel like you can work for days in this superstar. It's made with an extremely lightweight cotton and spandex, and finished with classy cloth covered buttons. Don't forget about all of the Lost Car awesomeness- pen and marker pockets in front for easy access, and the signature apron magnet on the back of your neck to keep that pesky thing from bothering you all shift. 
2 way stretch cotton
97% cotton 3% spandex
Double-breasted
No-fuss neodymium magnetic back apron tab
Top stitched with a contrasting light gray
Inset double chest pocket
12 cloth covered buttons
Mandarin collar
Short-sleeve
Longer, curved hemline
Use &amp; Care
Machine-wash cold, gentle cycle
Line dry only, DO NOT USE DRYER (shrinkage will occur)
Due to the 3% spandex in the fabric, please use caution when laundering. Care instructions must be followed in order to maintain the integrity of the product. No refunds or exchanges will be made from the disregard of these instructions.
Dimensions
Available in sizes XS-5XL
Note: This products sizing runs slightly larger.  Please reference the size chart before purchase.
 
Size Chart
Embroidery Thread Colors
Font List
",,XS,,Yes&&No=default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,0,,,67,,,,111-029&&111-008&&211-007&&DAYSHIFT&&111-007&&111-011&&112359&&111-018,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
111-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
111-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
111-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
